threadNum,insertSize,time,rate
1,50000,5823312,0.999615
2,50000,5640372,0.968212
3,50000,5474606,0.939757
4,50000,5358372,0.919805
5,50000,5295625,0.909034
6,50000,5329919,0.914921
7,50000,5284153,0.907064
8,50000,5284768,0.90717
9,50000,5309565,0.911427
10,50000,5317877,0.912853
11,50000,5256807,0.90237
12,50000,5315596,0.912462
13,50000,5300945,0.909947
14,50000,5276192,0.905698
15,50000,5275177,0.905524
16,50000,5255874,0.90221
17,50000,5292473,0.908493
18,50000,5276695,0.905784
19,50000,5324387,0.913971
20,50000,5242171,0.899858
21,50000,5285140,0.907234
22,50000,5310072,0.911514
23,50000,5295856,0.909073
24,50000,5308393,0.911225
25,50000,5248617,0.900964
26,50000,5309700,0.91145
27,50000,5381901,0.923844
28,50000,5299544,0.909706
29,50000,5338012,0.91631
30,50000,5400554,0.927046
31,50000,5345747,0.917638
32,50000,5398239,0.926648
