threadNum,insertSize,time,rate
1,10000,4911036,0.999316
2,10000,4861437,0.989223
3,10000,4841960,0.98526
4,10000,4868184,0.990596
5,10000,4841343,0.985134
6,10000,4838091,0.984473
7,10000,4915739,1.00027
8,10000,4887033,0.994432
9,10000,4906932,0.998481
10,10000,4958002,1.00887
11,10000,4965559,1.01041
12,10000,4898486,0.996762
13,10000,4963385,1.00997
14,10000,4963135,1.00992
15,10000,4919020,1.00094
16,10000,5005463,1.01853
17,10000,4980463,1.01344
18,10000,5018916,1.02127
19,10000,4971505,1.01162
20,10000,4974015,1.01213
21,10000,4953700,1.008
22,10000,4930111,1.0032
23,10000,5028299,1.02318
24,10000,5032395,1.02401
25,10000,5007539,1.01895
26,10000,5022843,1.02207
27,10000,5036862,1.02492
28,10000,5068684,1.03139
29,10000,4972481,1.01182
30,10000,5024903,1.02249
31,10000,5021229,1.02174
32,10000,5007468,1.01894
